Id,Source,Target,Weight
776,34,149,4
777,160,34,4
778,34,160,4
779,162,34,3
780,34,162,3
781,69,34,1
782,170,34,1
783,34,170,1
784,29,34,12
785,34,29,15
786,59,34,4
787,34,59,3
788,221,34,5
789,34,221,6
790,60,34,32
791,34,60,32
792,211,34,24
793,34,211,24
794,173,34,8
795,34,173,8
796,174,34,8
797,34,174,8
798,222,34,8
799,34,222,8
800,212,34,3
801,34,212,3
802,31,34,3
803,34,31,3
804,214,34,3
805,34,214,3
806,93,358,3
807,358,93,3
808,7,358,12
809,358,7,12
810,13,358,3
811,358,13,3
812,223,358,1
813,358,223,1
814,224,358,3
815,358,224,3
816,149,358,3
817,358,149,3
818,153,358,3
819,358,153,3
820,156,358,4
821,358,156,4
822,225,358,2
823,358,225,2
824,68,358,2
825,358,68,2
826,69,358,12
827,358,69,12
828,175,358,6
829,358,175,6
830,226,358,19
831,358,226,19
832,178,358,5
833,358,178,5
834,74,2,5
835,2,74,5
836,79,2,5
837,2,79,9
838,227,2,2
839,84,2,2
840,2,84,2
841,1,2,57
842,2,1,57
843,87,2,5
844,2,87,5
845,3,2,8
846,2,3,8
847,88,2,4
848,2,88,4
849,228,2,4
850,2,228,4
851,229,2,1
852,231,2,10
853,2,231,10
854,89,2,5
855,2,89,5
856,232,2,2
857,90,2,6
858,2,90,5
859,91,2,3
860,2,91,3
861,233,2,2
862,2,233,3
863,234,2,2
864,235,2,3
865,2,235,3
866,236,2,1
867,2,236,1
868,92,2,5
869,2,92,5
870,93,2,2
871,2,93,2
872,237,2,1
873,2,237,1
874,94,2,18
875,2,94,18
876,238,2,2
877,95,2,3
878,2,95,3
879,239,2,4
880,2,239,4
881,96,2,36
882,2,96,36
883,240,2,3
884,2,240,5
885,241,2,20
886,2,241,20
887,97,2,56
888,2,97,56
889,242,2,4
890,2,242,4
891,243,2,2
892,98,2,3
893,2,98,6
894,217,2,5
895,2,217,8
896,244,2,3
897,2,244,1
898,35,2,2
899,2,35,1
900,99,2,9
901,2,99,9
902,101,2,33
903,2,101,33
904,245,2,2
905,2,245,2
906,102,2,16
907,2,102,16
908,246,2,3
909,2,246,3
910,247,2,12
911,2,247,12
912,248,2,1
913,2,248,1
914,36,2,38
915,2,36,38
916,103,2,15
917,2,103,15
918,104,2,15
919,2,104,15
920,105,2,33
921,2,105,33
922,37,2,24
923,2,37,25
924,249,2,5
925,2,249,5
926,250,2,3
927,2,250,3
928,106,2,21
929,2,106,21
930,38,2,2
931,2,38,2
932,76,2,10
933,2,76,10
934,63,2,36
935,2,63,36
936,6,2,75
937,2,6,75
938,73,2,20
939,2,73,20
940,108,2,18
941,2,108,19
942,7,2,54
943,2,7,51
944,110,2,7
945,2,110,7
946,65,2,16
947,2,65,16
948,251,2,6
949,2,251,7
950,8,2,25
951,2,8,25
952,111,2,6
953,2,111,6
954,75,2,6
955,2,75,7
956,66,2,15
957,2,66,15
