Id,Label,timeset,city,country,name,latitude,longitude,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,clustering,eigencentrality
926,IFN,,Isfahan,IRAN,Isfahan International Airport,32.750832,51.861259,1,0,1,8,0,8,0,0,0,0,2,0,688,0,0.009897
927,MHD,,Mashhad,IRAN,Mashhad International Airport,36.235191,59.640968,1,0,1,8,0,8,0,0,0,0,2,0,687,0,0.009897
928,OMH,,Urmia,IRAN,Urmia Airport,37.668121,45.068699,1,0,1,3,0,3,0,0,0,0,2,0,686,0,0.009897
929,BEN,,Benghazi,LIBYA,Benghazi Benina International Airport,32.096779,20.26947,1,0,1,4,0,4,0,0,0,0,2,0,685,0,0.009897
930,MRA,,Misrata,LIBYA,Misrata International Airport,32.325558,15.059722,1,0,1,8,0,8,0,0,0,0,2,0,684,0,0.009897
931,TIP,,Tripoli,LIBYA,Tripoli International Airport,32.66354,13.15901,1,0,1,8,0,8,0,0,0,0,2,0,683,0,0.009897
334,MJI,,Tripoli,LIBYA,Tripoli Mitiga International Airport,32.889999,13.27,1,0,1,12,0,12,0,0,0,0,2,0,682,0,0.009897
932,KTM,,Kathmandu,NEPAL,Kathmandu Tribhuvan International Airport,27.696581,85.3591,1,0,1,5,0,5,0,0,0,0,2,0,681,0,0.009897
934,KHI,,Karachi,PAKISTAN,Karachi Jinnah International Airport,24.90654,67.160789,2,0,2,11,0,11,0,0,0,0,2,0,680,1,0.019057
935,MNL,,Manila,PHILIPPINES,Manila Ninoy Aquino International Airport,14.50864,121.019501,2,0,2,16,0,16,0,0,0,0,2,0,679,1,0.019057
936,ELQ,,Al-Qassim,SAUDI ARABIA,Al-Qassim Regional Airport,26.30282,43.773911,1,0,1,3,0,3,0,0,0,0,2,0,678,0,0.009897
937,TIF,,Taif,SAUDI ARABIA,Taif Airport,21.48341,40.544331,1,0,1,4,0,4,0,0,0,0,2,0,677,0,0.009897
938,YNB,,Yanbu,SAUDI ARABIA,Yanbu Airport,24.144239,38.063351,1,0,1,8,0,8,0,0,0,0,2,0,676,0,0.009897
939,DAR,,Dar-es-Salaam,TANZANIA,Dar-es-Salaam Julius Nyerere International Airport,-6.87811,39.202621,1,0,1,5,0,5,0,0,0,0,2,0,675,0,0.009897
941,DNZ,,Cardak,TURKEY,Denizli Cardak Airport,37.785561,29.70129,2,0,2,42,0,42,0,0,0,0,2,0,95,0.5,0.015746
942,ISE,,Isparta,TURKEY,Isparta Suleyman Demirel Airport,37.866112,30.382221,1,0,1,8,0,8,0,0,0,0,2,0,673,0,0.009897
943,KFS,,Kastamonu,TURKEY,Kastamonu Airport,41.314167,33.795555,2,0,2,9,0,9,0,0,0,0,2,0,85,0.5,0.015746
944,KZR,,Kutahya,TURKEY,Kutahya Zafer Airport,39.111389,30.129999,1,0,1,8,0,8,0,0,0,0,2,0,672,0,0.009897
945,MZH,,Merzifon,TURKEY,Merzifon Airport,40.829369,35.521992,2,0,2,11,0,11,0,0,0,0,2,0,80,0.5,0.015746
946,NAV,,Nevsehir,TURKEY,Nevsehir Kapadokya Airport,38.76889,34.52639,2,0,2,32,0,32,0,0,0,0,2,0,78,0.5,0.015746
947,NOP,,Sinop,TURKEY,Sinop Airport,42.019001,35.079189,2,0,2,17,0,17,0,0,0,0,2,0,73,0.5,0.015746
948,VAS,,Sivas,TURKEY,Sivas Nuri Demirag Airport,39.81382,36.903488,3,0,3,44,0,44,0,0,0,0,2,0,71,0.833333,0.019538
949,EBB,,Entebbe,UGANDA,Entebbe International Airport,0.042386,32.443501,1,0,1,2,0,2,0,0,0,0,2,0,671,0,0.009897
950,KHE,,Kherson,UKRAINE,Kherson International Airport,46.672394,32.507988,2,0,2,26,0,26,0,0,0,0,0,0,62,1,0.015362
951,KCO,,Izmit,TURKEY,Izmit Topel Airport,40.735027,30.083336,1,0,1,4,0,4,0,0,0,0,2,0,70,0,0.000713
952,CMB,,Colombo,SRI LANKA,Colombo Bandaranaike International Airport,7.180756,79.884109,2,0,2,11,0,11,0,0,0,0,4,0,667,1,0.014624
953,VIN,,Vinnytsia,UKRAINE,Vinnytsia Havryshivka International Airport,49.243427,28.6112,1,0,1,8,0,8,0,0,0,0,0,0,61,0,0.005464
954,KOI,,Kirkwall,UNITED KINGDOM,Kirkwall Airport,58.957771,-2.905,3,0,3,59,0,59,0,0,0,0,4,0,701,0,0.02175
956,SYY,,Stornoway,UNITED KINGDOM,Stornoway Airport,58.215549,-6.33111,3,0,3,53,0,53,0,0,0,0,4,0,8,0,0.02175
957,LSI,,Sumburgh,UNITED KINGDOM,Sumburgh Airport,59.87888,-1.29555,3,0,3,67,0,67,0,0,0,0,4,0,7,0,0.02175
958,WIC,,Wick,UNITED KINGDOM,Wick Airport,58.458881,-3.09305,2,0,2,20,0,20,0,0,0,0,4,0,43,0,0.014455
959,ATQ,,Amritsar,INDIA,Amritsar International Airport,31.709591,74.797256,1,0,1,4,0,4,0,0,0,0,4,0,691,0,0.008595
961,GIB,,Gibraltar,GIBRALTAR,Gibraltar Airport,36.151211,-5.34966,4,0,4,32,0,32,0,0,0,0,4,0,692,0.25,0.040562
962,CEG,,Chester,UNITED KINGDOM,Chester Hawarden Airport,53.178051,-2.97777,1,0,1,5,0,5,0,0,0,0,8,0,52,0,0.008953
963,VLY,,Anglesey,UNITED KINGDOM,Anglesey Airport,53.240002,-4.53,1,0,1,12,0,12,0,0,0,0,4,0,49,0,0.003941
965,DNR,,Dinard,FRANCE,Dinard Pleurtuit Saint-Malo Airport,48.587769,-2.08,2,0,2,9,0,9,0,0,0,0,8,0,700,0,0.017565
966,YHZ,,Halifax,CANADA,Halifax Stanfield International Airport,44.880829,-63.508598,3,0,3,20,0,20,0,0,0,0,4,0,707,0.666667,0.027716
