Id,City,Country,Label,Name,latitude,longitude
251,Accra,GHANA,ACC,Accra Kotoka International Airport,5.605186,-0.166780
252,Kalamata,GREECE,KLX,Kalamata International Airport,37.068310,22.025520
253,Mykonos,GREECE,JMK,Mykonos Island National Airport,37.435120,25.348101
254,Mytilene,GREECE,MJT,Mytilene International Airport,39.056660,26.598330
255,Volos,GREECE,VOL,Volos Nea Anchialos National Airport,39.219608,22.794331
256,Zakynthos,GREECE,ZTH,Zakynthos International Airport,37.750851,20.884251
257,Reykjavik,ICELAND,KEF,Keflavik International Airport,63.985001,-22.605499
258,Mumbai,INDIA,BOM,Mumbai Chhatrapati Shivaji International Airport,19.088680,72.867912
259,Milan,ITALY,LIN,Milan Linate Airport,45.445099,9.276739
260,Tokyo,JAPAN,NRT,Tokyo Narita International Airport,35.764721,140.386307
261,Cancun,MEXICO,CUN,Cancun International Airport,21.036520,-86.876999
262,Tivat,MONTENEGRO,TIV,Tivat Airport,42.404659,18.723280
263,Agadir,MOROCCO,AGA,Agadir Al Massira Airport,30.324989,-9.413060
264,Casablanca,MOROCCO,CMN,Casablanca Mohammed V International Airport,33.367458,-7.589960
265,Fes,MOROCCO,FEZ,Fes Saiss Airport,33.927261,-4.977950
266,Rabat,MOROCCO,RBA,Rabat-Sale Airport,34.051460,-6.751510
267,Tangier,MOROCCO,TNG,Tangier Ibn Battouta Airport,35.726910,-5.916880
268,Ponta Delgada,PORTUGAL,PDL,Ponta Delgada Joao Paulo II Airport,37.741180,-25.697800
269,Bacau,ROMANIA,BCM,Bacau International Airport,46.521938,26.910271
270,Kigali,RWANDA,KGL,Kigali Airport,-1.968620,30.139450
271,Jeddah,SAUDI ARABIA,JED,Jeddah King Abdulaziz International Airport,21.679560,39.156528
272,Riyadh,SAUDI ARABIA,RUH,Riyadh King Khalid International Airport,24.957640,46.698769
273,Dakar,SENEGAL,DSS,Dakar Blaise Diagne International Airport,14.671111,-17.066944
274,Freetown,SIERRA LEONE,FNA,Freetown Lungi International Airport,8.616444,-13.195400
275,Johannesburg,SOUTH AFRICA,JNB,Johannesburg OR Tambo International Airport,-26.139099,28.246000
276,Almeria,SPAIN,LEI,Almeria Airport,36.843929,-2.370090
277,Jerez,SPAIN,XRY,Jerez Airport,36.744621,-6.060110
278,La Palma,SPAIN,SPC,La Palma Airport,28.626471,-17.755600
279,Lanzarote,SPAIN,ACE,Lanzarote Airport,28.945459,-13.605200
280,Reus,SPAIN,REU,Reus Airport,41.147388,1.167172
281,Santiago,SPAIN,SCQ,Santiago de Compostela Airport,42.896332,-8.415140
282,Seville,SPAIN,SVQ,Seville San Pablo Airport,37.417999,-5.893100
283,Valencia,SPAIN,VLC,Valencia Airport,39.489311,-0.481620
284,Stockholm,SWEDEN,BMA,Stockholm Bromma Airport,59.354370,17.941650
285,Enfidha,TUNISIA,NBE,Enfidha – Hammamet International Airport,36.091946,10.413889
286,Bodrum,TURKEY,BJV,Bodrum Milas Airport,37.250610,27.664310
287,East Midlands,UNITED KINGDOM,EMA,East Midlands Airport,52.831108,-1.328050
288,Newcastle,UNITED KINGDOM,NCL,Newcastle Airport,55.037498,-1.691660
289,Atlanta,UNITED STATES,ATL,Atlanta Hartsfield-Jackson International Airport,33.636719,-84.428001
