,from_airports_list,to_airports_list,departure_delay_time_list,departure_delay_list,arrival_delay_time_list,arrival_delay_list,flight_code_list
7982,PNL,PMO,0.0,False,1372.0,False,DX1822
7983,PMO,PSA,400.0,False,1720.0,False,FR9585
7984,PSA,PMO,-184.0,True,1209.0,False,FR9584
7985,PMO,FCO,-416.0,True,1143.0,False,AZ1772
7986,PMO,FCO,-111.0,True,995.0,False,AZ1774
7987,PMO,FCO,-1051.0,True,439.0,False,AZ1782
7988,PMO,FCO,-76.0,True,1593.0,False,AZ1784
7989,PMO,FCO,-2.0,True,1479.0,False,AZ1792
7990,PMO,FCO,-536.0,True,1303.0,False,AZ1794
7991,PMO,FCO,12.0,False,1997.0,False,FR3947
7992,FCO,PMO,-626.0,True,1186.0,False,AZ1767
7993,FCO,PMO,-1663.0,True,-246.0,True,AZ1777
7994,FCO,PMO,-746.0,True,1081.0,False,AZ1781
7995,FCO,PMO,-1126.0,True,769.0,False,AZ1783
7996,FCO,PMO,-475.0,True,1422.0,False,AZ1785
7997,FCO,PMO,-1002.0,True,486.0,False,AZ1795
7998,FCO,PMO,-705.0,True,1478.0,False,FR3946
7999,PMO,TRN,-303.0,True,726.0,False,FR4916
8000,PMO,TRN,-979.0,True,-48.0,True,V71746
8001,TRN,PMO,-370.0,True,974.0,False,FR4917
8002,TRN,PMO,-1578.0,True,-21.0,True,V71747
8003,PMO,VCE,-120.0,True,307.0,False,FR8922
8004,PMO,VCE,-417.0,True,466.0,False,V71221
8005,VCE,PMO,-1302.0,True,143.0,False,FR8921
8006,VCE,PMO,-1077.0,True,811.0,False,V71220
8007,PMO,VRN,156.0,False,1161.0,False,V71532
8008,VRN,PMO,-639.0,True,525.0,False,V71533
8009,PMO,KRK,-1957.0,True,-238.0,True,FR6865
8010,KRK,PMO,-267.0,True,1005.0,False,FR6864
8011,PMO,WRO,-615.0,True,175.0,False,FR2025
8012,WRO,PMO,-443.0,True,1142.0,False,FR2026
8013,PMO,OTP,-651.0,True,1157.0,False,FR8502
8014,OTP,PMO,-297.0,True,436.0,False,FR8501
8015,PMO,VLC,10.0,False,1081.0,False,FR4486
8016,VLC,PMO,-147.0,True,1402.0,False,FR4487
8017,PMO,ZRH,179.0,False,1001.0,False,LX2511
