,from_airports_list,to_airports_list,departure_delay_time_list,departure_delay_list,arrival_delay_time_list,arrival_delay_list
339,BRU,DBV,-400.0,True,1235.0,False
340,DBV,BRU,539.0,False,2091.0,False
341,BRU,ZAG,-563.0,True,-10.0,True
342,ZAG,BRU,-800.0,True,166.0,False
343,FIH,BRU,-3692.0,True,-889.0,True
344,BRU,CPH,398.0,False,1748.0,False
345,BRU,CPH,-477.0,True,1161.0,False
346,CPH,BRU,117.0,False,1178.0,False
347,CPH,BRU,-599.0,True,506.0,False
348,BRU,ADD,-192.0,True,1120.0,False
349,BRU,ICN,-15371.0,True,22538.0,False
350,BRU,HEL,-296.0,True,921.0,False
351,HEL,BRU,-586.0,True,164.0,False
352,BRU,NCE,-1905.0,True,-941.0,True
353,NCE,BRU,-1218.0,True,132.0,False
354,BRU,TLS,-1101.0,True,163.0,False
355,TLS,BRU,-581.0,True,1117.0,False
356,BRU,TXL,-239.0,True,1457.0,False
357,TXL,BRU,348.0,False,1663.0,False
358,BRU,FRA,-1045.0,True,491.0,False
359,BRU,FRA,-208.0,True,826.0,False
360,BRU,FRA,-211.0,True,1455.0,False
361,FRA,BRU,-1222.0,True,-472.0,True
362,FRA,BRU,-708.0,True,146.0,False
363,FRA,BRU,-775.0,True,229.0,False
364,BRU,MUC,-753.0,True,82.0,False
365,BRU,MUC,-339.0,True,836.0,False
366,BRU,MUC,-190.0,True,992.0,False
367,MUC,BRU,-400.0,True,566.0,False
368,MUC,BRU,-627.0,True,514.0,False
369,MUC,BRU,-767.0,True,179.0,False
370,BRU,ATH,-1007.0,True,1097.0,False
371,ATH,BRU,-898.0,True,408.0,False
372,BRU,CHQ,-1087.0,True,1067.0,False
373,CHQ,BRU,72.0,False,1016.0,False
374,CFU,BRU,205.0,False,532.0,False
375,GPA,CFU,348.0,False,2075.0,False
376,BRU,HER,-1877.0,True,192.0,False
377,HER,BRU,-62.0,True,929.0,False
378,BRU,KGS,-339.0,True,2044.0,False
379,BRU,KGS,-1985.0,True,568.0,False
380,KGS,BRU,-43.0,True,541.0,False
381,KGS,BRU,-355.0,True,281.0,False
382,BRU,GPA,-1542.0,True,1224.0,False
383,BRU,RHO,-785.0,True,1379.0,False
384,BRU,RHO,-672.0,True,1917.0,False
385,RHO,BRU,-60.0,True,839.0,False
386,RHO,BRU,-141.0,True,-808.0,True
387,BRU,ZTH,-797.0,True,1279.0,False
388,ZTH,BRU,-467.0,True,478.0,False
389,BOM,SIN,810.0,False,3310.0,False
390,BRU,BOM,-1877.0,True,-527.0,True
391,BRU,BDS,-909.0,True,970.0,False
392,BRU,CTA,-662.0,True,1128.0,False
393,BRU,CTA,-906.0,True,876.0,False
394,CTA,BRU,-977.0,True,1072.0,False
395,CTA,BRU,-796.0,True,1019.0,False
396,BRU,MXP,-305.0,True,1223.0,False
397,BRU,MXP,-707.0,True,1426.0,False
398,MXP,BRU,162.0,False,1731.0,False
399,MXP,BRU,-842.0,True,718.0,False
400,BRU,NAP,-510.0,True,1600.0,False
401,NAP,BRU,-899.0,True,458.0,False
402,BRU,FCO,-2330.0,True,-526.0,True
403,BRU,FCO,-961.0,True,930.0,False
404,FCO,BRU,-1337.0,True,724.0,False
405,FCO,BRU,-668.0,True,1110.0,False
406,BRU,VCE,-867.0,True,857.0,False
407,VCE,BRU,-539.0,True,915.0,False
408,BRU,BEY,-2494.0,True,-286.0,True
409,BEY,BRU,-897.0,True,-98.0,True
410,BRU,TNG,-614.0,True,162.0,False
411,TNG,BRU,-1769.0,True,197.0,False
412,BRU,AMS,-682.0,True,1598.0,False
413,AMS,BRU,-1343.0,True,-199.0,True
414,BRU,OSL,-6506.0,True,-12168.0,True
415,BRU,WAW,-191.0,True,1649.0,False
416,WAW,BRU,135.0,False,1059.0,False
417,BRU,FAO,-775.0,True,373.0,False
418,BRU,FAO,-1349.0,True,-390.0,True
419,FAO,BRU,-387.0,True,1933.0,False
420,FAO,BRU,-477.0,True,1911.0,False
421,BRU,LIS,-4065.0,True,-2323.0,True
422,BRU,LIS,-10854.0,True,-9698.0,True
423,LIS,BRU,-3747.0,True,-1567.0,True
424,LIS,BRU,-11291.0,True,-9732.0,True
425,BRU,OPO,-911.0,True,823.0,False
426,OPO,BRU,-395.0,True,1190.0,False
427,BRU,DOH,-8964.0,True,-5930.0,True
428,DOH,BRU,-234.0,True,1417.0,False
429,BRU,ICN,-15371.0,True,22538.0,False
430,BRU,ALC,-633.0,True,153.0,False
431,BRU,ALC,-723.0,True,510.0,False
432,BRU,ALC,-1646.0,True,-385.0,True
433,ALC,BRU,-186.0,True,1675.0,False
434,ALC,BRU,-979.0,True,1105.0,False
435,ALC,BRU,-1100.0,True,1051.0,False
436,BRU,LEI,-1142.0,True,-75.0,True
437,LEI,BRU,-1153.0,True,886.0,False
438,BRU,BCN,-1246.0,True,-123.0,True
439,BRU,BCN,-747.0,True,507.0,False
440,BRU,BCN,-562.0,True,711.0,False
441,BCN,BRU,-1636.0,True,507.0,False
442,BCN,BRU,-956.0,True,943.0,False
443,BCN,BRU,-286.0,True,1225.0,False
444,BRU,LPA,-773.0,True,1387.0,False
445,LPA,BRU,-498.0,True,2192.0,False
446,BRU,IBZ,-1579.0,True,-583.0,True
447,IBZ,BRU,-1092.0,True,683.0,False
448,FAO,BRU,-477.0,True,1911.0,False
449,BRU,MAD,-584.0,True,1932.0,False
450,BRU,MAD,-806.0,True,1172.0,False
451,BRU,MAD,-558.0,True,1211.0,False
452,MAD,BRU,-780.0,True,2029.0,False
453,MAD,BRU,-567.0,True,1137.0,False
454,MAD,BRU,-945.0,True,1367.0,False
455,BRU,AGP,-608.0,True,271.0,False
456,BRU,AGP,-841.0,True,971.0,False
457,BRU,AGP,-1748.0,True,-609.0,True
458,AGP,BRU,-357.0,True,1859.0,False
459,AGP,BRU,-89.0,True,2127.0,False
460,AGP,BRU,-1856.0,True,639.0,False
461,BRU,SVQ,-27.0,True,876.0,False
462,SVQ,BRU,-370.0,True,1585.0,False
463,BRU,TFS,-1463.0,True,1268.0,False
464,BRU,TFS,-1268.0,True,854.0,False
465,TFS,BRU,-74.0,True,2021.0,False
466,TFS,BRU,-473.0,True,2374.0,False
467,BRU,VLC,-703.0,True,449.0,False
468,VLC,BRU,-605.0,True,1313.0,False
469,JKG,HEL,-791.0,True,386.0,False
470,BRU,JKG,-835.0,True,1255.0,False
471,BRU,GVA,-861.0,True,1062.0,False
472,GVA,BRU,-2309.0,True,-1008.0,True
473,BRU,ZRH,-645.0,True,1202.0,False
474,ZRH,BRU,-971.0,True,626.0,False
475,TUN,BRU,-18720.0,True,-17305.0,True
476,ESB,BRU,160.0,False,1260.0,False
477,BRU,AOE,-777.0,True,1367.0,False
478,BRU,IST,-1615.0,True,1442.0,False
479,IST,BRU,-1329.0,True,252.0,False
480,BRU,SAW,-208.0,True,2398.0,False
481,SAW,BRU,-203.0,True,436.0,False
482,BRU,ADB,-1143.0,True,807.0,False
483,BRU,LHR,-416.0,True,1395.0,False
484,LHR,BRU,-1446.0,True,590.0,False
485,BRU,ADD,-192.0,True,1120.0,False
486,BRU,ORD,85433.0,False,85882.0,False
487,ORD,BRU,-2276.0,True,1332.0,False
488,BRU,EWR,224.0,False,1681.0,False
489,BRU,IAD,-904.0,True,743.0,False
490,IAD,BRU,-758.0,True,2220.0,False
491,CRL,VIE,-450.0,True,1431.0,False
492,VIE,CRL,-466.0,True,405.0,False
493,CRL,AJA,-444.0,True,849.0,False
494,AJA,CRL,-546.0,True,621.0,False
495,CRL,BIA,318.0,False,1891.0,False
496,BIA,CRL,-222.0,True,1084.0,False
497,CRL,BIQ,-116.0,True,896.0,False
498,BIQ,CRL,-782.0,True,834.0,False
499,CRL,FSC,214.0,False,1110.0,False
500,FSC,CRL,-1458.0,True,-31.0,True
501,CRL,PGF,-262.0,True,1107.0,False
502,PGF,CRL,-248.0,True,975.0,False
503,CRL,ATH,-312.0,True,1873.0,False
504,ATH,CRL,-351.0,True,696.0,False
505,CRL,BUD,-282.0,True,1437.0,False
506,BUD,CRL,185.0,False,833.0,False
507,CRL,TLV,-772.0,True,1345.0,False
508,TLV,CRL,-603.0,True,-400.0,True
509,CRL,CAG,-151.0,True,1111.0,False
510,CAG,CRL,69.0,False,1487.0,False
511,CRL,PEG,-676.0,True,615.0,False
512,PEG,CRL,-776.0,True,-102.0,True
513,CRL,MLA,-522.0,True,596.0,False
514,MLA,CRL,-308.0,True,922.0,False
515,CRL,KIV,-856.0,True,1156.0,False
516,KIV,CRL,-159.0,True,482.0,False
517,CRL,SKP,-733.0,True,637.0,False
518,SKP,CRL,-104.0,True,520.0,False
519,CRL,WMI,50.0,False,1384.0,False
520,WMI,CRL,-313.0,True,771.0,False
521,CRL,LIS,47.0,False,1327.0,False
522,LIS,CRL,-304.0,True,1492.0,False
523,CRL,OTP,192.0,False,2393.0,False
524,CRL,OTP,-176.0,True,2074.0,False
525,CRL,OTP,-781.0,True,1601.0,False
526,OTP,CRL,-78.0,True,220.0,False
527,OTP,CRL,53.0,False,967.0,False
528,OTP,CRL,-53.0,True,327.0,False
529,CRL,CLJ,-991.0,True,1015.0,False
530,CLJ,CRL,-414.0,True,18.0,False
531,CRL,IAS,-204.0,True,1587.0,False
532,IAS,CRL,-101.0,True,772.0,False
533,CRL,LJU,-932.0,True,282.0,False
534,LJU,CRL,-692.0,True,-104.0,True
535,CRL,GRO,-272.0,True,797.0,False
536,GRO,CRL,-379.0,True,1151.0,False
537,CRL,IBZ,78.0,False,1126.0,False
538,IBZ,CRL,-48.0,True,1628.0,False
539,CRL,MAD,-732.0,True,1202.0,False
540,MAD,CRL,-908.0,True,1186.0,False
541,CRL,AGP,-219.0,True,706.0,False
542,AGP,CRL,-296.0,True,1559.0,False
543,CRL,PMI,243.0,False,1251.0,False
544,PMI,CRL,-378.0,True,1292.0,False
545,CRL,REU,-31.0,True,991.0,False
546,REU,CRL,-688.0,True,1008.0,False
547,CRL,VLC,-157.0,True,559.0,False
548,VLC,CRL,-784.0,True,1155.0,False
549,CRL,ZAZ,-1019.0,True,393.0,False
550,ZAZ,CRL,-369.0,True,817.0,False
551,CRL,SAW,-427.0,True,2753.0,False
552,SAW,CRL,-746.0,True,351.0,False
553,CRL,GLA,110.0,False,1121.0,False
554,GLA,CRL,-111.0,True,1508.0,False
555,VIE,TLV,-2866.0,True,-1079.0,True
556,TLV,VIE,-2331.0,True,-4556.0,True
557,CGO,LGG,0.0,False,-14727.0,True
558,PRG,BRQ,-97.0,True,856.0,False
559,LGG,PRG,0.0,False,10.0,False
560,TLL,LGG,2707.0,False,3604.0,False
561,LGG,RNS,894.0,False,-658.0,True
562,KWJ,CJU,-968.0,True,1082.0,False
563,CJU,KWJ,-599.0,True,341.0,False
564,SXF,ORB,-251.0,True,945.0,False
565,LGG,SXF,-465.0,True,1324.0,False
566,MUC,RIX,-696.0,True,964.0,False
567,LGG,MUC,-823.0,True,658.0,False
568,VKO,MUC,599.0,False,2659.0,False
569,NUE,BUD,-282.0,True,555.0,False
570,LGG,NUE,-1694.0,True,-41.0,True
571,NUE,LGG,819.0,False,1743.0,False
572,ATH,LCA,-938.0,True,28.0,False
573,LGG,ATH,-1878.0,True,780.0,False
574,LGG,DUB,-1303.0,True,507.0,False
575,DUB,LGG,396.0,False,1945.0,False
576,VIE,TLV,-2866.0,True,-1079.0,True
577,TLV,VIE,-2331.0,True,-4556.0,True
