,from_airports_list,to_airports_list,departure_delay_time_list,departure_delay_list,arrival_delay_time_list,arrival_delay_list,flight_code_list
299,ATH,LCA,-1237.0,True,488.0,False,OA902
300,LCA,DOH,-633.0,True,-1793.0,True,QR266
301,DOH,LCA,-1342.0,True,-2152.0,True,QR265
302,LCA,DXB,457.0,False,2497.0,False,EK110
303,DXB,LCA,-791.0,True,1085.0,False,EK109
304,PRG,MSQ,-472.0,True,593.0,False,B2862
305,MSQ,PRG,-831.0,True,-414.0,True,B2861
306,PRG,FRA,-793.0,True,864.0,False,LH1393
307,PRG,FRA,22.0,False,1650.0,False,LH1401
308,FRA,PRG,-546.0,True,503.0,False,LH1392
309,FRA,PRG,-568.0,True,533.0,False,LH1400
310,PRG,AMS,-686.0,True,-227.0,True,OK616
311,PRG,AMS,-487.0,True,569.0,False,OK618
312,PRG,AMS,521.0,False,2341.0,False,KL1352
313,AMS,PRG,-1828.0,True,522.0,False,OK617
314,AMS,PRG,-1675.0,True,353.0,False,OK619
315,AMS,PRG,-357.0,True,1176.0,False,KL1351
316,PRG,DOH,-981.0,True,1492.0,False,QR292
317,DOH,PRG,-1799.0,True,631.0,False,QR291
318,PRG,IST,-1397.0,True,669.0,False,TK1768
319,IST,PRG,-1681.0,True,-977.0,True,TK1767
320,PRG,KBP,-286.0,True,987.0,False,OK918
321,KBP,PRG,-816.0,True,587.0,False,OK919
322,AAL,CPH,-201.0,True,794.0,False,DX153
323,AAL,CPH,-362.0,True,443.0,False,DX169
324,AAL,CPH,32.0,False,990.0,False,DY3091
325,AAL,CPH,-506.0,True,330.0,False,SK1202
326,AAL,CPH,-172.0,True,963.0,False,SK1218
327,CPH,AAL,-268.0,True,337.0,False,DX154
328,CPH,AAL,-560.0,True,125.0,False,DX166
329,CPH,AAL,-42.0,True,722.0,False,DX170
330,CPH,AAL,97.0,False,1028.0,False,DY3090
331,CPH,AAL,-550.0,True,447.0,False,SK1217
332,CPH,VIE,-1075.0,True,454.0,False,OS306
333,VIE,CPH,-1776.0,True,-462.0,True,OS305
334,CPH,ZAG,-396.0,True,916.0,False,OU481
335,ZAG,CPH,-630.0,True,328.0,False,OU480
336,CPH,AAL,-268.0,True,337.0,False,DX154
337,CPH,AAL,-560.0,True,125.0,False,DX166
338,CPH,AAL,-42.0,True,722.0,False,DX170
339,CPH,AAL,97.0,False,1028.0,False,DY3090
340,CPH,AAL,-550.0,True,447.0,False,SK1217
341,AAL,CPH,-201.0,True,794.0,False,DX153
342,AAL,CPH,-362.0,True,443.0,False,DX169
343,AAL,CPH,32.0,False,990.0,False,DY3091
344,AAL,CPH,-506.0,True,330.0,False,SK1202
345,AAL,CPH,-172.0,True,963.0,False,SK1218
346,CPH,RNN,-485.0,True,455.0,False,DX34
347,CPH,RNN,-496.0,True,402.0,False,DX46
348,CPH,RNN,-642.0,True,367.0,False,DX50
349,RNN,CPH,-323.0,True,492.0,False,DX33
350,RNN,CPH,-197.0,True,606.0,False,DX35
351,RNN,CPH,-40.0,True,712.0,False,DX41
352,RNN,CPH,-34.0,True,666.0,False,DX49
353,CPH,TLL,33.0,False,798.0,False,BT196
354,TLL,CPH,136.0,False,922.0,False,BT195
355,CPH,FAE,-948.0,True,246.0,False,RC453
356,FAE,CPH,-486.0,True,560.0,False,RC450
357,CPH,HEL,-1561.0,True,478.0,False,AY956
358,HEL,CPH,-1317.0,True,-1077.0,True,AY955
359,CPH,CDG,-2592.0,True,-1029.0,True,AF1851
360,CDG,CPH,-975.0,True,1159.0,False,AF1350
361,CDG,CPH,-1452.0,True,422.0,False,AF1850
362,FRA,CPH,-2700.0,True,-1517.0,True,LH832
363,CPH,BEY,-810.0,True,1445.0,False,ME226
364,BEY,CPH,-487.0,True,-1105.0,True,ME225
365,CPH,AMS,-400.0,True,649.0,False,KL1124
366,CPH,AMS,-901.0,True,842.0,False,KL1128
367,AMS,CPH,-979.0,True,715.0,False,KL1127
368,AMS,CPH,-868.0,True,781.0,False,KL1139
369,CPH,OSL,8.0,False,1418.0,False,SK1462
370,OSL,CPH,-1707.0,True,-260.0,True,SK459
371,OSL,CPH,-1516.0,True,-244.0,True,SK1461
372,CPH,SVG,-903.0,True,-245.0,True,SK1872
373,SVG,CPH,-615.0,True,561.0,False,SK1877
374,CPH,WAW,-447.0,True,1053.0,False,LO462
375,WAW,CPH,-852.0,True,646.0,False,LO461
376,CPH,DOH,-359.0,True,2189.0,False,QR160
377,DOH,CPH,-996.0,True,694.0,False,QR159
378,CPH,SIN,-643.0,True,2729.0,False,SQ351
379,CPH,ARN,-900.0,True,59.0,False,SK1416
380,ARN,CPH,-852.0,True,175.0,False,SK1415
381,CPH,DXB,-1499.0,True,1113.0,False,EK152
